title,keywords,cleaned_genre,semantic_density,emotion_score,entropy,cliche_score
사과(영화),"현정, 현실, 이야기, 딸, 생활, 한국, 같, 퇴직, 취업",드라마,0.6562268,0.0,0.2075187486729242,42.49
타인은 지옥이다(영화),"캠핑, 지숙, 진영, 기류, 장, 석, 피디, 외주, 회사원, 방송",드라마,0.6745012,0.0,0.1315172022331585,42.44
카운슬러(영화),"카운슬러, 라이너, 말, 마약, 가을, 올, 일, 인용, 거액, 선택",기타,0.6743497,0.0,0.1315172022331585,42.43
괴물(영화),"괴물, 작전, 위험, 한강, 정부, 돈, 생물체, 출몰, 여유, 군대",기타,0.6739861,0.0,0.1315172022331585,42.41
엘렉트라(영화),"엘렉트라, 집단, 암살자, 핸드, 치명, 자신, 키마구레, 세상, 죽음, 무술",기타,0.5350674,0.3333333322222222,0.1315172022331585,42.41
보디가드(홍콩 영화),"정, 킬러, 정양, 홍콩, 약혼자, 중국, 후, 형, 시계, 경호",기타,0.6733069,0.0,0.1315172022331585,42.37
삼손(영화),"삼손, 신, 속, 영웅, 왕, 사랑, 핍박, 이스라엘, 민족, 선택",드라마,0.53423494,0.3333333322222222,0.1315172022331585,42.36
헬보이 실사영화 시리즈,"대결, 헬보이, 인물, 관계, 괴승, 베쓰무라의, 응징, 라스푸틴, 누아다, 자연",기타,0.6729372,0.0,0.1315172022331585,42.35
바벨(영화),"분, 모로코, 리처드, 아이, 키쿠치 린코, 마음, 장애, 문, 청각, 이후",스릴러,0.6900578,0.0,0.062765440682787,42.34
쉬리(영화),"특수, 중원, 암살, 최근, 박무, 요원, 영, 북한, 명현, 저격",드라마,0.67263436,0.0,0.1315172022331585,42.33
밀양(영화),"밀양, 삶, 남편, 전도연, 남자, 여자, 신애, 사랑, 자신",드라마,0.49753574,0.3703703691358024,0.2075187486729242,42.22
해바라기(영화),"태식, 희주, 조판, 수, 병진, 양기, 말, 뒤, 팔, 태식이",드라마,0.6702537,0.0,0.1315172022331585,42.19
허풍(영화),"허풍, 없, 섹스, 방, 인, 썸씽, 아이돌, 대한민국, 상상, 톱스타",코미디,0.66974276,0.0,0.1315172022331585,42.16
창간호(영화),"선, 미안, 패기, 단편, 종합, 지금, 꿈, 도전, 낭만, 밤",드라마,0.669303,0.0,0.1315172022331585,42.13
큐브(영화),"윈, 방, 큐브, 레인스, 다드, 잭스, 출구, 자신, 요원, 함정",공포,0.6690648,0.0,0.1315172022331585,42.12
프리 파이어(영화),"총격, 밀거래, 크리스, 킬리언 머피, 의문, 버논, 샬토 코플리, 브로커, 전, 저스틴",드라마,0.7016391,0.0,0.0,42.1
아인(영화),"괴물, 인류, 같, 원작, 흥행, 만화, 축복, 판매, 재앙, 세계",액션,0.6686924,0.0,0.1315172022331585,42.09
페이스 오프(영화),"캐스터, 숀, 아들, 자신, 살해범, 도움, 의료진, 속, 순간, 끈질기",스릴러,0.6686355,0.0,0.1315172022331585,42.09
21(영화),"카드, 팀, 수학, 비밀, 블랙잭, 천재, 카운팅, 교수, 미키, 벤",범죄,0.5295859,0.3333333322222222,0.1315172022331585,42.08
챔피언(영화),"챔피언, 팔씨름, 진기, 마크, 없, 엄마, 시작, 세계, 어메이징, 순간",코미디,0.66831225,0.0,0.1315172022331585,42.07
신기전(영화),"신기전, 개발, 명, 조선, 세종, 비밀, 총통, 등록, 완성, 대륙",액션,0.5288937,0.3333333322222222,0.1315172022331585,42.04
푸시(영화),"닉, 키라, 캐시, 디비전, 자신, 카버, 가방, 패밀리, 기억, 어머니",기타,0.6670645,0.0,0.1315172022331585,42.0
통증(영화),"분류, 로맨스, 드라마, 한국",로맨스,0.50145894,0.0,0.792481249163033,41.97
하나코(영화),"사토미, 악령, 마미야, 하나코, 사당, 뒤, 학교, 레이코, 화장실, 코",기타,0.6661568,0.0,0.1315172022331585,41.94
겟 아웃(영화),"크리스, 로즈, 말, 흑인, 자신, 조지나, 월터, 로건, 로드, 아미티지",스릴러,0.66562563,0.0,0.1315172022331585,41.91
상어(영화),"시작, 자신, 상어, 교도소, 노름, 여자, 냄새, 공원, 실재, 영철",드라마,0.66552967,0.0,0.1315172022331585,41.9
클릭(영화),"마이클, 리모컨, 모티, 아내, 말, 일, 자신, 감기, 때, 아들",코미디,0.66531926,0.0,0.1315172022331585,41.89
애정의 조건(영화),"엠마, 오로라, 플랩, 호튼, 게릿, 남편, 옆집, 딸, 분, 이사",코미디,0.6644352,0.0,0.1315172022331585,41.84
머드(영화),"머드, 엘리스, 소년, 사랑, 넥본, 아지트, 발견, 십자가, 보트, 구두",드라마,0.5253363,0.3333333322222222,0.1315172022331585,41.83
현기증(한국 영화),"순임, 영희, 꽃잎, 아기, 상호, 모습, 치매, 말, 현기증, 본인",기타,0.66290677,0.0,0.1315172022331585,41.75
1922(영화),"끝, 편지, 펜, 농부, 서두, 죄의식, 고백, 원한, 살해, 아내",공포,0.5239609,0.3333333322222222,0.1315172022331585,41.74
영화는 영화다,"조직, 보스, 강, 패, 이후, 수타, 경찰차, 유리창, 머리",드라마,0.6430642,0.0,0.2075187486729242,41.7
사경(영화),"핌, 톨게이트, 일, 인물, 노, 근무, 공포, 밤, 새벽, 게시물",공포,0.6594678,0.0,0.1315172022331585,41.54
